"","Id","country","city","settlement","establish","population","structures","kyc_pop","kyc_year","gpw20","gpw15","ghs15","hrsl18","wp_pb20","wp_u18","wp_u15","wp_c20","wpe16","ls18","ls15","grid16","area_m2"
"47","51","Tanzania","Dar es Salaam","KURASINI MJI MPYA","28-11-2017","7375","692",7375,2017,15003.2197265625,11152.5576171875,8275.396484375,9408.5458984375,3170.9052734375,11537.4208984375,8013.728515625,8032.630859375,10.8527755737305,6842.640625,6704.85693359375,15003.2197265625,507909.899053515
"48","52","Tanzania","Dar es Salaam","KWA KOPA","29-11-2017","9200","1077",9200,2017,12934.6953125,10027.970703125,12191.5693359375,10424.5478515625,3711.97436523438,10102.9912109375,8336.7626953125,10265.0673828125,7.80121040344238,9314.7265625,12696.65625,12934.6953125,365096.643553466
"49","53","Tanzania","Dar es Salaam","kwa PAKACHA","28-11-2017","7320","1273",7320,2017,9826.9013671875,7618.56884765625,5169.5859375,11924.0361328125,2214.61401367188,8616.4775390625,7477.8056640625,10072.3115234375,2.73187184333801,5735.14990234375,8107.63232421875,9826.9013671875,127851.601771832
"50","54","Tanzania","Dar es Salaam","KWA TUMBO","29-11-2017","25000","1054",25000,2017,17879.92578125,13861.8916015625,12483.80859375,21151.875,3353.0107421875,15351.1015625,12997.703125,17743.119140625,4.81894540786743,6429.02978515625,9088.8037109375,17879.92578125,225526.636354607
"51","55","Tanzania","Dar es Salaam","KWA ZOMBOKO","05-12-2016","24132","2560",24132,2016,29255.11328125,21746.62109375,15611.5166015625,20065.83984375,10429.8076171875,24325.09375,20644.19921875,29617.345703125,19.3555774688721,11035.9716796875,9454.716796875,29255.11328125,905841.021470264
"52","57","Tanzania","Dar es Salaam","MACHINJIONI","29-11-2017","35000","4209",35000,2017,9479.5078125,7046.53857421875,6529.7353515625,7787.7626953125,4591.70458984375,8958.2294921875,7791.03857421875,12401.53515625,7.50692796707153,4061.82250976562,2278.40991210938,9479.5078125,351324.22848157
"53","58","Tanzania","Dar es Salaam","MADENGE","26-02-2019","20160","1160",20160,2019,13210.5703125,9500.931640625,10089.33203125,15809.27734375,4654.37060546875,13129.349609375,10508.7470703125,18962.041015625,7.90877914428711,7492.6279296875,9723.939453125,13210.5703125,370130.876246244
"54","59","Tanzania","Dar es Salaam","MAGOGONI","06-12-2016","6200","826",6200,2016,20046.076171875,14901.13671875,8062.33349609375,17225.84765625,8818.6865234375,13406.9052734375,11441.875,14450.087890625,20.3915004730225,6959.103515625,6007.22412109375,20046.076171875,2779206.45683493
"55","60","Tanzania","Dar es Salaam","MAGURUMBASI  A","06-12-2016","10560","904",10560,2016,7556.408203125,5598.50927734375,5227.54638671875,12895.6806640625,3478.98266601562,10126.5234375,8050.01220703125,13049.361328125,4.71038055419922,13469.34765625,14035.181640625,7556.408203125,270688.662652642
"56","61","Tanzania","Dar es Salaam","MAGURUMBASI B","14-11-2016","4272","505",4272,2016,3950.58911132812,2936.16918945312,3026.40576171875,4818.140625,2036.66833496094,4738.9658203125,4123.2255859375,6905.33642578125,1.21870756149292,6715.2001953125,6609.9619140625,3950.58911132812,119580.696874941
"57","62","Tanzania","Dar es Salaam","MAJENGO","25-02-2019","17124","1850",17124,2019,13111.888671875,9382.1474609375,9334.3271484375,11149.9775390625,3834.51245117188,13625.12109375,11320.5146484375,17283.396484375,6.20390796661377,3538.17138671875,2558.6015625,13111.888671875,290342.899818608
"58","63","Tanzania","Dar es Salaam","MAJI MATITU A","01-12-2017","29330","4032",29330,2017,44204.96484375,32860.53515625,21464.392578125,36276.9609375,15711.580078125,25392.609375,21011.72265625,31926.31640625,45.7731857299805,11660.205078125,2605.28100585938,44204.96484375,2143823.80489657
